,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU116,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU117,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma terricola
OTU118,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU119,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Alatospora,Alatospora acuminata
OTU120,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe sororia
OTU121,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,NA,NA
OTU122,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella lapida
OTU123,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA
OTU124,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,NA
OTU125,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,NA,NA
OTU126,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus hobsonii
OTU127,Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
OTU128,Fungi,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA
OTU129,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,NA
OTU130,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU132,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,NA,NA
OTU133,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Calycina,Calycina ellisii
OTU134,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU135,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA
OTU136,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,NA
OTU137,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Rhizopogon arctostaphyli
OTU138,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,Leohumicola,NA
OTU139,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
OTU140,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU141,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Clypeosphaeria,NA
OTU142,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,NA,NA
OTU143,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU144,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amniculicolaceae,Murispora,NA
OTU145,Fungi,Ascomycota,Dothideomycetes,Dothideales,Aureobasidiaceae,NA,NA
OTU146,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU147,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA
OTU148,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
OTU149,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU150,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA
OTU151,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe nitidiuscula
OTU152,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,NA,NA,NA
OTU153,Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum geophilum
OTU154,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,NA,NA
OTU155,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Rhizopogon brunneiniger
OTU156,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,NA,NA
OTU158,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU159,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
OTU160,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,Oidiodendron chlamydosporicum
OTU161,Fungi,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA
OTU162,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,NA
OTU163,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Striatibotrys,NA
OTU164,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,Schizothecium glutinans
OTU165,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU166,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,NA,NA,NA
OTU167,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,NA
OTU168,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,NA,NA
OTU169,Fungi,Ascomycota,Dothideomycetes,NA,NA,NA,NA
OTU170,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA
OTU171,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU172,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria eureka
OTU173,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
OTU174,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,NA,NA
OTU175,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,NA,NA
OTU176,Fungi,NA,NA,NA,NA,NA,NA
OTU177,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU178,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU179,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU180,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU181,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,Hygrophorus gliocyclus
OTU182,Fungi,Basidiomycota,Agaricomycetes,Tremellodendropsidales,NA,NA,NA
OTU183,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Rachicladosporium,NA
OTU184,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU185,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU186,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Pannariaceae,Pectenia,NA
OTU187,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,NA
OTU188,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,NA,Minimedusa,Minimedusa polyspora
OTU189,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
OTU190,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU191,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,NA
OTU192,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU193,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,NA
OTU194,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,Trichocladium opacum
OTU195,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia friedmannii
OTU196,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium nodositatum
OTU197,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyphodiscus,NA
OTU198,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,Chalara,NA
OTU199,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU201,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA
OTU202,Fungi,Ascomycota,Lecanoromycetes,Umbilicariales,NA,NA,NA
OTU203,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,NA,NA,NA
OTU204,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU205,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU206,Fungi,Basidiomycota,Tremellomycetes,Tremellales,NA,NA,NA
OTU207,Fungi,Ascomycota,Sordariomycetes,Xylariales,Bartaliniaceae,Truncatella,Truncatella angustata
OTU208,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,NA,Sistotrema,NA
OTU209,Viridiplantae,Chlorophyta,NA,NA,NA,NA,NA
OTU210,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces purpureus
OTU211,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU212,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU213,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU214,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,NA,NA
OTU215,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU216,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Alatospora,NA
OTU217,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA
OTU218,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU219,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA
OTU220,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella cinerascens
OTU221,Fungi,Ascomycota,Sordariomycetes,Xylariales,NA,NA,NA
OTU222,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU223,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,Tolypocladium inflatum
OTU224,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU225,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU226,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,Leohumicola,NA
OTU227,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA
OTU228,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,NA
OTU229,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
OTU230,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU231,Fungi,Ascomycota,Dothideomycetes,Capnodiales,NA,NA,NA
OTU232,Fungi,Glomeromycota,NA,NA,NA,NA,NA
OTU233,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU234,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium chernovii
OTU235,Fungi,Ascomycota,Leotiomycetes,NA,NA,NA,NA
OTU236,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,NA
OTU237,Fungi,NA,NA,NA,NA,NA,NA
OTU238,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraconiothyrium,NA
OTU240,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,NA
OTU241,Fungi,Ascomycota,Dothideomycetes,Dothideales,NA,NA,NA
OTU242,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,NA
OTU243,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe flocculosa
OTU244,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
