#OTU ID,W01X01HA,W01X01XA,W01X02HA,W01X02XA,W01X03HA,W01X03XA,W01X04HA,W01X04HX,W01X05HA,W01X05XA,W01X06HA,W01X06XA,W01X07HA,W01X07XA,W01X08HA,W01X08XA,W01X09HA,W01X09XA,W01X10HA,W01X10HB,W01X10XA,W03S06HA,W03S06HX,W03S07HA,W03S07XA,W03S10HA,W03S10HB,W03S10HC,W03S10XB,W03S10XC,W05N01HA,W05X03HA,W05X03HB,W05X03HC,W05X03XA,W05X03XB,W05X03XC,W05X04HA,W05X04HB,W05X04XA,W05X04XB,W05X05HA,W05X05HB,W05X05HC,W05X05XB,W05X05XC,W05X06HA,W05X06HB,W05X06HC,W05X06XA,W05X06XB,W05X06XC,W05X08HB,W05X08HC,W05X08XA,W05X08XB,W05X08XC,W05X09HA,W05X09HB,W05X09HC,W05X09XA,W05X09XB,W05X09XC,W06N01HA,W06N01HB,W06N01HC,W06N01HD,W06N01XA,W06N01XB,W06N01XC,W06N02HA,W06N02HB,W06N02HC,W06N02XA,W06N02XB,W06N02XC,W06N05XA,W06S08HA,W06S08XA,W06S10HA,W06S10HB,W06S10HC,W06S10XA,W06S10XB,W06S10XC,W07N03HA,W07N03XA,W07N04HA,W07N04HB,W07N04HD,W07N04XA,W07N04XB,W07N04XC,W07N04XD,W07N06HA,W07N08HA,W07N08XA,W08N03HA,W08N03XA,W08S09HA,W08S09XA,W09X01HA,W09X01XA,W09X02HA,W09X02XA,W09X03HA,W09X03XA,W09X04HA,W09X04XA,W09X05HA,W09X05XA,W09X06HA,W09X06XA,W09X07HA,W09X07XA,W09X08HA,W09X08XA,W09X09HA,W09X09XA,W09X10HA,W09X10XA,W10X01HA,W10X01XA,W10X02HA,W10X02XA,W10X03HA,W10X03XA,W10X04HA,W10X04XA,W10X05HA,W10X05XA,W10X06HA,W10X06XA,W10X07HA,W10X07XA,W10X08HA,W10X08XA,W10X09HA,W10X09XA,W10X10HA,W11N04HA,W11N04HB,W11N04HC,W11N04HD,W11N04XA,W11N04XB,W11N04XC,W11N04XD
OTU21,250,1750,449,1096,895,577,929,1092,1542,261,998,1815,1577,481,1467,4435,526,1264,631,2015,861,87,2474,416,489,608,522,1472,963,3538,1789,396,583,281,227,248,280,116,0,0,0,0,99,47,233,0,200,846,180,201,956,575,179,273,259,182,261,76,236,431,94,223,75,847,241,332,1589,2810,297,1289,0,700,255,829,333,653,190,808,0,421,331,64,723,466,291,0,399,307,312,193,426,953,1557,792,296,54,86,32,163,443,1459,388,488,66,179,144,112,37,273,30,105,104,248,0,54,127,77,184,1078,0,189,215,224,969,1007,185,676,429,1317,353,489,0,179,0,91,0,332,142,241,395,189,1758,988,228,2058,1313,198,1001
OTU22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU23,0,0,0,0,0,5588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19260,0,470,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7110,0,3620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU24,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,637,341,0,0,0,0,0,56,0,0,1848,1892,2402,3451,1805,1986,14672,3731,2029,3341,390,1116,161,790,339,1654,497,585,216,1091,991,423,448,509,817,415,833,1269,1410,710,686,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,53,0,0,0,0,0,0,0,0,198,170,0,434,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,160,0,0,56,0,0,523,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0
OTU25,0,1713,0,1183,0,980,0,1345,0,0,135,311,0,0,0,276,0,0,0,0,0,0,0,0,0,561,0,0,0,0,0,1452,237,3214,273,203,1106,249,0,0,0,0,0,0,1420,41,1371,4947,158,169,967,0,0,1574,1481,151,0,0,588,486,876,814,2151,0,0,0,0,137,0,306,0,0,0,74,0,0,0,0,0,0,54,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,3190,515,9978,0,498,0,1462,0,0,0,1409,0,10088,0,3637,0,2157,0,1095,0,437,0,0,0,72,0,226,0,0,0,2686,0,0,0,0,0,442,0,0,167,0,0,0,0,469,192,0,44
OTU26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,1307,171,252,164,1281,199,1981,254,3015,1712,399,0,110,0,0,0,0,0,0,0,158,1853,91,0,484,0,129,114,175,768,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,8641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19886,5655,0,1464,347,9786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU28,0,7107,0,3905,0,0,0,30,0,0,0,0,0,134,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,1348,1786,2730,822,3593,0,0,0,0,1568,2466,1411,3080,0,2111,400,2237,307,0,397,114,142,1312,156,579,0,0,119,353,0,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU29,173,266,1233,723,150,42,1521,959,345,0,751,76,135,122,1668,2600,517,13,321,1220,123,0,0,35,115,93,1208,71,622,236,1218,355,187,130,221,748,20,167,155,322,153,219,0,0,16,0,78,291,273,91,485,199,281,154,71,633,264,225,699,1483,90,132,115,568,268,350,1771,479,187,932,19,386,565,513,286,764,0,0,0,70,111,14,258,50,23,0,0,337,53,245,36,128,357,196,25,0,0,0,0,253,156,119,31,0,0,0,0,0,0,12,0,0,0,0,0,72,0,19,0,0,0,63,0,419,476,0,0,34,1065,0,0,0,0,0,0,0,0,0,0,218,791,3038,1701,624,2123,1381,396,2071
OTU30,116,276,102,122,214,19,90,171,621,294,88,29,303,231,409,463,1344,439,185,500,592,0,0,48,0,385,0,143,19,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,90,126,230,443,96,462,0,31,63,113,66,340,224,559,53,354,700,69,938,497,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,543,469,257,488,789,198,600,799,554,293,1183,83,644,93,457,549,183,82,992,203,2998,1394,745,1140,1016,488,617,775,705,552,416,622,551,485,411,149,743,286,1830,0,0,39,0,0,0,20,0
